"","ID","params_on_bound_em","params_stuck_high_em"
"1","D3-F0-cod-DM-prior-1",0,NA
"2","D3-F0-cod-DM-prior-2",0,NA
"3","D3-F0-cod-DM-prior-3",1,"Size_DblN_peak_Fishery(1)"
"4","D3-F0-cod-DM-prior-4",0,NA
"5","D3-F0-cod-DM-prior-5",1,"Size_DblN_peak_Fishery(1)"
"6","D3-F0-cod-DM-prior-6",0,NA
"7","D3-F0-cod-DM-prior-7",0,NA
"8","D3-F0-cod-DM-prior-8",0,NA
"9","D3-F0-cod-DM-prior-9",0,NA
"10","D3-F0-cod-DM-prior-10",0,NA
"11","D3-F0-cod-MI-1",0,NA
"12","D3-F0-cod-MI-2",0,NA
"13","D3-F0-cod-MI-3",0,NA
"14","D3-F0-cod-MI-4",0,NA
"15","D3-F0-cod-MI-5",1,"Size_DblN_peak_Fishery(1)"
"16","D3-F0-cod-MI-6",0,NA
"17","D3-F0-cod-MI-7",0,NA
"18","D3-F0-cod-MI-8",0,NA
"19","D3-F0-cod-MI-9",1,"Size_DblN_peak_Fishery(1)"
"20","D3-F0-cod-MI-10",0,NA
"21","D3-F0-cod-Fran-1",0,NA
"22","D3-F0-cod-Fran-2",0,NA
"23","D3-F0-cod-Fran-3",1,"Size_DblN_peak_Fishery(1)"
"24","D3-F0-cod-Fran-4",0,NA
"25","D3-F0-cod-Fran-5",1,"Size_DblN_peak_Fishery(1)"
"26","D3-F0-cod-Fran-6",0,NA
"27","D3-F0-cod-Fran-7",0,NA
"28","D3-F0-cod-Fran-8",0,NA
"29","D3-F0-cod-Fran-9",1,"Size_DblN_peak_Fishery(1)"
"30","D3-F0-cod-Fran-10",0,NA
"31","D3-F0-cod-No_DW-1",0,NA
"32","D3-F0-cod-No_DW-2",0,NA
"33","D3-F0-cod-No_DW-3",1,"Size_DblN_peak_Fishery(1)"
"34","D3-F0-cod-No_DW-4",0,NA
"35","D3-F0-cod-No_DW-5",1,"Size_DblN_peak_Fishery(1)"
"36","D3-F0-cod-No_DW-6",0,NA
"37","D3-F0-cod-No_DW-7",0,NA
"38","D3-F0-cod-No_DW-8",0,NA
"39","D3-F0-cod-No_DW-9",0,NA
"40","D3-F0-cod-No_DW-10",0,NA
