"","SSB_MSY_om","TotYield_MSY_om","SSB_Unfished_om","depletion_om","F_MSY_om","F_SPR_om","last_yr_early_om","first_yr_full_om","last_yr_full_om","first_yr_recent_om","max_bias_adj_om","NatM_p_1_Fem_GP_1_om","L_at_Amin_Fem_GP_1_om","L_at_Amax_Fem_GP_1_om","VonBert_K_Fem_GP_1_om","CV_young_Fem_GP_1_om","CV_old_Fem_GP_1_om","Wtlen_1_Fem_GP_1_om","Wtlen_2_Fem_GP_1_om","Mat50._Fem_GP_1_om","Mat_slope_Fem_GP_1_om","Eggs.kg_inter_Fem_GP_1_om","Eggs.kg_slope_wt_Fem_GP_1_om","RecrDist_GP_1_om","RecrDist_Area_1_om","RecrDist_month_1_om","CohortGrowDev_om","FracFemale_GP_1_om","SR_LN_R0_om","SR_BH_steep_om","SR_sigmaR_om","SR_regime_om","SR_autocorr_om","ForeRecr_101_om","Impl_err_101_om","LnQ_base_Survey_2_om","Size_DblN_peak_Fishery_1_om","Size_DblN_top_logit_Fishery_1_om","Size_DblN_ascend_se_Fishery_1_om","Size_DblN_descend_se_Fishery_1_om","Size_DblN_start_logit_Fishery_1_om","Size_DblN_end_logit_Fishery_1_om","Size_DblN_peak_Survey_2_om","Size_DblN_top_logit_Survey_2_om","Size_DblN_ascend_se_Survey_2_om","Size_DblN_descend_se_Survey_2_om","Size_DblN_start_logit_Survey_2_om","Size_DblN_end_logit_Survey_2_om","minage.sel.1_Fishery_1_om","maxage.sel.1_Fishery_1_om","minage.sel.1_Survey_2_om","maxage.sel.1_Survey_2_om","Catch_endyear_om","NLL_TOTAL_om","NLL_Catch_om","NLL_Equil_catch_om","NLL_Survey_om","NLL_Discard_om","NLL_Mean_body_wt_om","NLL_Length_comp_om","NLL_Age_comp_om","NLL_Size_at_age_om","NLL_SizeFreq_om","NLL_Morphcomp_om","NLL_Tag_comp_om","NLL_Tag_negbin_om","NLL_Recruitment_om","NLL_Forecast_Recruitment_om","NLL_Parm_priors_om","NLL_Parm_softbounds_om","NLL_Parm_devs_om","NLL_Crash_Pen_om","SSB_MSY_em","TotYield_MSY_em","SSB_Unfished_em","depletion_em","F_MSY_em","F_SPR_em","last_yr_early_em","first_yr_full_em","last_yr_full_em","first_yr_recent_em","max_bias_adj_em","params_on_bound_em","params_stuck_low_em","params_stuck_high_em","NatM_p_1_Fem_GP_1_em","L_at_Amin_Fem_GP_1_em","L_at_Amax_Fem_GP_1_em","VonBert_K_Fem_GP_1_em","CV_young_Fem_GP_1_em","CV_old_Fem_GP_1_em","Wtlen_1_Fem_GP_1_em","Wtlen_2_Fem_GP_1_em","Mat50._Fem_GP_1_em","Mat_slope_Fem_GP_1_em","Eggs.kg_inter_Fem_GP_1_em","Eggs.kg_slope_wt_Fem_GP_1_em","RecrDist_GP_1_em","RecrDist_Area_1_em","RecrDist_month_1_em","CohortGrowDev_em","FracFemale_GP_1_em","SR_LN_R0_em","SR_BH_steep_em","SR_sigmaR_em","SR_regime_em","SR_autocorr_em","ForeRecr_101_em","Impl_err_101_em","LnQ_base_Survey_2_em","Size_DblN_peak_Fishery_1_em","Size_DblN_top_logit_Fishery_1_em","Size_DblN_ascend_se_Fishery_1_em","Size_DblN_descend_se_Fishery_1_em","Size_DblN_start_logit_Fishery_1_em","Size_DblN_end_logit_Fishery_1_em","Size_DblN_peak_Survey_2_em","Size_DblN_top_logit_Survey_2_em","Size_DblN_ascend_se_Survey_2_em","Size_DblN_descend_se_Survey_2_em","Size_DblN_start_logit_Survey_2_em","Size_DblN_end_logit_Survey_2_em","minage.sel.1_Fishery_1_em","maxage.sel.1_Fishery_1_em","minage.sel.1_Survey_2_em","maxage.sel.1_Survey_2_em","Catch_endyear_em","NLL_TOTAL_em","NLL_Catch_em","NLL_Equil_catch_em","NLL_Survey_em","NLL_Discard_em","NLL_Mean_body_wt_em","NLL_Length_comp_em","NLL_Age_comp_em","NLL_Size_at_age_em","NLL_SizeFreq_em","NLL_Morphcomp_em","NLL_Tag_comp_em","NLL_Tag_negbin_em","NLL_Recruitment_em","NLL_Forecast_Recruitment_em","NLL_Parm_priors_em","NLL_Parm_softbounds_em","NLL_Parm_devs_em","NLL_Crash_Pen_em","scenario","iteration","D","F","species","max_grad","version","RunTime","hessian","Niterations","ID"
"1",1417980000,164172000,4084180000,0.502012643908936,0.113958,0.127929,1,1,100,100,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.7,0.65,0.4,0,0,0.0966594,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,119993000,527249000,526666000,0,582233,NA,NA,85.0402,542.677,NA,NA,NA,NA,NA,49.9286,0.029197,0,0.00145323,0,0,1430680000,168599000,4140740000,0.442942565821568,0.116042,0.129724,1,26,99,100,0.9,0,NA,NA,0.2,20.4658,134.711,0.195557,0.10767,0.0685823,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.6836,0.65,0.4,0,0,0,0,-0.113036,46.0085,-3,2.17607,15,-999,999,39.2329,-4,4.83417,14,-99,99,0.1,100,0.1,100,119993000,304.633,2.3195e-13,0,-47.3723,NA,NA,308.344,93.0793,NA,NA,NA,NA,NA,-49.4196,0,0,0.00170298,0,0,"D0-F0-cod",1,"D0","F0","cod",9.46349e-05,"#V3.30.14.00-safe;_2019_07_19;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_12.0",0.9,FALSE,467,"D0-F0-cod-1"
"2",1417980000,164172000,4084180000,0.422532797281217,0.113958,0.127929,1,1,100,100,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.7,0.65,0.4,0,0,-0.213604,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,98984900,526288000,525705000,0,582247,NA,NA,83.9141,532.486,NA,NA,NA,NA,NA,51.7845,0.142583,0,0.00145323,0,0,1557910000,164219000,4403800000,0.344843090058586,0.103827,0.118462,1,26,99,100,0.9,0,NA,NA,0.2,20.3493,131.382,0.202212,0.0978378,0.0850707,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.7828,0.65,0.4,0,0,0,0,-0.0779183,34.6561,-3,3.36245,15,-999,999,40.871,-4,5.32479,14,-99,99,0.1,100,0.1,100,98984900,312.918,1.81248e-12,0,-42.0563,NA,NA,328.917,77.6815,NA,NA,NA,NA,NA,-51.6255,0,0,0.00137782,0,0,"D0-F0-cod",2,"D0","F0","cod",3.71102e-05,"#V3.30.14.00-safe;_2019_07_19;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_12.0",1.43333333333333,FALSE,747,"D0-F0-cod-2"
"3",1417980000,164172000,4084180000,0.447815718210265,0.113958,0.127929,1,1,100,100,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.7,0.65,0.4,0,0,-0.121373,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,109986000,527226000,526643000,0,582453,NA,NA,84.375,539.42,NA,NA,NA,NA,NA,53.5314,0.0460357,0,0.00145323,0,0,1453450000,198963000,4333520000,0.534556203732762,0.134597,0.146527,1,26,99,100,0.9,0,NA,NA,0.2,21.3608,135.154,0.187049,0.096134,0.0891601,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.7477,0.65,0.4,0,0,0,0,-0.241108,59.8161,-3,0.960376,15,-999,999,33.0053,-4,3.25869,14,-99,99,0.1,100,0.1,100,109986000,332.378,8.05535e-14,0,-43.4728,NA,NA,320.705,106.274,NA,NA,NA,NA,NA,-51.1309,0,0,0.00285172,0,0,"D0-F0-cod",3,"D0","F0","cod",2.37489e-05,"#V3.30.14.00-safe;_2019_07_19;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_12.0",0.95,FALSE,495,"D0-F0-cod-3"
"4",1417980000,164172000,4084180000,0.484701947514556,0.113958,0.127929,1,1,100,100,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.7,0.65,0.4,0,0,-0.012125,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,117992000,531687000,531100000,0,587021,NA,NA,82.678,527.227,NA,NA,NA,NA,NA,51.0982,0.000459427,0,0.00145323,0,0,1517480000,190283000,4449720000,0.470836367232095,0.123334,0.136287,1,26,99,100,0.9,0,NA,NA,0.2,21.3405,135.165,0.187537,0.0920066,0.0918555,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.7709,0.65,0.4,0,0,0,0,-0.113155,52.2868,-3,1.73552,15,-999,999,39.7134,-4,4.31357,14,-99,99,0.1,100,0.1,100,117992000,328.294,3.69883e-14,0,-41.9337,NA,NA,317.632,108.904,NA,NA,NA,NA,NA,-56.3104,0,0,0.00197451,0,0,"D0-F0-cod",4,"D0","F0","cod",6.05201e-05,"#V3.30.14.00-safe;_2019_07_19;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_12.0",0.966666666666667,FALSE,501,"D0-F0-cod-4"
"5",1417980000,164172000,4084180000,0.441613738865574,0.113958,0.127929,1,1,100,100,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.7,0.65,0.4,0,0,-0.593101,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,107834000,527693000,527109000,0,583509,NA,NA,85.318,538.243,NA,NA,NA,NA,NA,55.1065,1.09928,0,0.00145323,0,0,1285470000,163115000,3774790000,0.327562592885962,0.124737,0.137657,1,26,99,100,0.9,0,NA,NA,0.2,20.1831,132.79,0.192999,0.104597,0.0815411,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.644,0.65,0.4,0,0,0,0,0.132217,52.544,-3,2.31846,15,-999,999,45.587,-4,5.5783,14,-99,99,0.1,100,0.1,100,107834000,296.007,1.77137e-12,0,-55.844,NA,NA,308.291,93.5757,NA,NA,NA,NA,NA,-50.0179,0,0,0.00150324,0,0,"D0-F0-cod",5,"D0","F0","cod",8.83234e-05,"#V3.30.14.00-safe;_2019_07_19;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_12.0",1.05,FALSE,545,"D0-F0-cod-5"
"6",1417980000,164172000,4084180000,0.502012643908936,0.113958,0.127929,1,1,100,100,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.7,0.65,0.4,0,0,0.0966594,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,119993000,527396000,526666000,0,582233,NA,NA,85.0402,148114,NA,NA,NA,NA,NA,49.9286,0.029197,0,0.00145323,0,0,1297710000,168897000,3829590000,0.441230001122836,0.128144,0.140812,1,26,99,100,0.9,0,NA,NA,0.2,20.6067,136.722,0.190568,0.108641,0.0593021,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.5888,0.65,0.4,0,0,0,0,-0.0337716,54.8387,-3,1.17268,15,-999,999,39.2894,-4,4.88894,14,-99,99,0.1,100,0.1,100,119993000,313.551,9.91967e-13,0,-47.507,NA,NA,307.431,101.9,NA,NA,NA,NA,NA,-48.2752,0,0,0.00224765,0,0,"D1-F0-cod",1,"D1","F0","cod",4.13713e-05,"#V3.30.14.00-safe;_2019_07_19;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_12.0",0.85,FALSE,454,"D1-F0-cod-1"
"7",1417980000,164172000,4084180000,0.422532797281217,0.113958,0.127929,1,1,100,100,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.7,0.65,0.4,0,0,-0.213604,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,98984900,526435000,525705000,0,582247,NA,NA,83.9141,147834,NA,NA,NA,NA,NA,51.7845,0.142583,0,0.00145323,0,0,1590330000,164064000,4470790000,0.343536600913932,0.101619,0.116483,1,26,99,100,0.9,0,NA,NA,0.2,20.4086,129.526,0.2065,0.0962569,0.0955147,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.8151,0.65,0.4,0,0,0,0,-0.088698,43.1179,-3,5.81334,15,-999,999,40.0129,-4,5.15502,14,-99,99,0.1,100,0.1,100,98984900,341.623,1.29331e-12,0,-41.8936,NA,NA,328.46,106.454,NA,NA,NA,NA,NA,-51.3979,0,0,0.000859205,0,0,"D1-F0-cod",2,"D1","F0","cod",2.15845e-05,"#V3.30.14.00-safe;_2019_07_19;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_12.0",0.983333333333333,FALSE,518,"D1-F0-cod-2"
"8",1417980000,164172000,4084180000,0.447815718210265,0.113958,0.127929,1,1,100,100,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.7,0.65,0.4,0,0,-0.121373,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,109986000,527373000,526643000,0,582453,NA,NA,84.375,147897,NA,NA,NA,NA,NA,53.5314,0.0460357,0,0.00145323,0,0,1418180000,199016000,4249130000,0.540122330924213,0.13796,0.149519,1,26,99,100,0.9,0,NA,NA,0.2,21.4852,135.591,0.185267,0.0965374,0.0853115,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.7284,0.65,0.4,0,0,0,0,-0.234776,62.9284,-3,1.13624,15,-999,999,33.3343,-4,3.24241,14,-99,99,0.1,100,0.1,100,109986000,343.012,5.001e-14,0,-43.5333,NA,NA,317.821,116.712,NA,NA,NA,NA,NA,-47.9913,0,0,0.00271234,0,0,"D1-F0-cod",3,"D1","F0","cod",1.26643e-05,"#V3.30.14.00-safe;_2019_07_19;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_12.0",0.933333333333333,FALSE,501,"D1-F0-cod-3"
"9",1417980000,164172000,4084180000,0.484701947514556,0.113958,0.127929,1,1,100,100,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.7,0.65,0.4,0,0,-0.012125,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,117992000,531835000,531100000,0,587021,NA,NA,82.678,147856,NA,NA,NA,NA,NA,51.0982,0.000459427,0,0.00145323,0,0,1490660000,187652000,4375460000,0.463448414566697,0.123826,0.13671,1,26,99,100,0.9,0,NA,NA,0.2,21.4107,135.939,0.185839,0.0926504,0.0879133,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.7473,0.65,0.4,0,0,0,0,-0.0990756,52.7345,-3,1.6099,15,-999,999,39.5087,-4,4.34419,14,-99,99,0.1,100,0.1,100,117992000,347.366,4.04711e-14,0,-41.9665,NA,NA,316.159,127.776,NA,NA,NA,NA,NA,-54.6038,0,0,0.00203951,0,0,"D1-F0-cod",4,"D1","F0","cod",1.67084e-05,"#V3.30.14.00-safe;_2019_07_19;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_12.0",0.95,FALSE,504,"D1-F0-cod-4"
"10",1417980000,164172000,4084180000,0.441613738865574,0.113958,0.127929,1,1,100,100,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.7,0.65,0.4,0,0,-0.593101,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,107834000,527841000,527109000,0,583509,NA,NA,85.318,148047,NA,NA,NA,NA,NA,55.1065,1.09928,0,0.00145323,0,0,1.29e+09,162906000,3779570000,0.320261299565824,0.124204,0.137349,1,26,99,100,0.9,0,NA,NA,0.2,19.8551,131.76,0.199069,0.105141,0.0875312,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.6387,0.65,0.4,0,0,0,0,0.132799,54.6974,-3,3.80072,15,-999,999,45.1673,-4,5.68097,14,-99,99,0.1,100,0.1,100,107834000,316.819,1.74811e-12,0,-55.4422,NA,NA,307.387,115.082,NA,NA,NA,NA,NA,-50.2094,0,0,0.00106158,0,0,"D1-F0-cod",5,"D1","F0","cod",7.65288e-06,"#V3.30.14.00-safe;_2019_07_19;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_12.0",1.11666666666667,FALSE,593,"D1-F0-cod-5"
